[2023-01-30 11:26:53,664] INFO [Controller id=0 epoch=8] Sending UpdateMetadata request to brokers Set(0) for 0 partitions (state.change.logger)
[2023-01-30 11:26:53,766] INFO [Controller id=0 epoch=8] Sending LeaderAndIsr request to broker 0 with 53 become-leader and 0 become-follower partitions (state.change.logger)
[2023-01-30 11:26:53,769] INFO [Controller id=0 epoch=8] Sending UpdateMetadata request to brokers Set(0) for 53 partitions (state.change.logger)
[2023-01-30 11:26:53,811] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 53 partitions (state.change.logger)
[2023-01-30 11:26:53,908] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 8 as part of the become-leader transition for 53 partitions (state.change.logger)
[2023-01-30 11:26:54,002] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,035] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,046] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,072] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,081] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,090] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,100] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,113] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,120] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,129] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,138] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,148] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,156] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,163] INFO [Broker id=0] Leader MyFirstKafkaTopic-0 with topic id Some(twx36w7rQK6ncaA1S2xNMQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,170] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,180] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,189] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
